table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,g0d9,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,2944,744,3880,373,473,2208,1632,3287,4715,2674,4455,65,133,320,54,157,472,345,3,4,9,0,4,0,19,0,6,14,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,744,76,693,18,21,111,51,83,229,144,369,2,6,15,2,8,34,38,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3880,693,1852,110,151,896,702,3328,7115,3898,4120,19,46,409,63,217,462,306,0,0,1,0,2,0,21,0,8,10,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,373,18,110,887,621,299,47,74,88,15,21,7,10,9,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,473,21,151,621,2874,1277,71,98,99,14,21,152,45,12,1,2,2,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2208,111,896,299,1277,5844,1199,1078,470,86,132,241,785,369,46,25,18,13,6,20,31,1,23,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1632,51,702,47,71,1199,1998,2132,463,57,50,8,78,381,58,35,12,5,0,0,3,0,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3287,83,3328,74,98,1078,2132,8535,2536,264,211,18,129,1240,180,150,70,36,1,3,14,0,19,8,16,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,4715,229,7115,88,99,470,463,2536,11666,2279,1383,25,52,828,143,980,691,257,0,0,4,0,5,1,78,0,28,17,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2674,144,3898,15,14,86,57,264,2279,2015,1855,1,4,41,10,64,596,275,0,0,0,0,0,0,11,0,7,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
