table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,4137,1107,5049,142,204,1809,1522,3782,5494,3292,5548,47,105,354,69,173,566,401,1,1,8,0,4,0,24,0,8,17,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1107,146,1012,8,9,114,54,108,281,191,533,1,4,19,3,11,46,50,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,5049,1012,2540,56,79,749,599,3690,8286,4638,4775,14,43,412,76,220,542,352,0,0,1,0,2,0,27,0,11,14,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,142,8,56,1263,757,258,33,53,79,9,8,10,13,8,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,204,9,79,757,3464,1363,71,78,89,10,8,180,55,11,1,2,1,0,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1809,114,749,258,1363,6645,1464,1102,452,88,131,271,965,443,55,26,20,13,5,15,37,1,27,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1522,54,599,33,71,1464,3230,2409,489,70,64,11,97,458,70,38,17,8,0,0,4,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3782,108,3690,53,78,1102,2409,10421,2729,306,252,24,146,1399,216,172,93,47,1,3,16,0,22,10,19,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,5494,281,8286,79,89,452,489,2729,13659,2534,1584,24,61,929,162,1092,857,323,0,0,4,0,6,1,92,0,33,22,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,3292,191,4638,9,10,88,70,306,2534,2396,2018,1,5,52,13,74,686,302,0,0,0,0,0,0,13,0,9,6,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,5548,533,4775,8,8,131,64,252,1584,2018,5060,1,3,33,8,36,511,1281,0,0,0,0,0,0,7,0,7,34,1,85,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,12,47,1,14,10,180,271,11,24,24,1,1,5302,293,1,0,0,0,0,903,349,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,105,4,43,13,55,965,97,146,61,5,3,293,4313,198,115,4,0,0,6,75,513,10,383,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,14,354,19,412,8,11,443,458,1399,929,52,33,1,198,2874,834,453,17,3,0,0,4,0,49,14,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,69,3,76,1,1,55,70,216,162,13,8,0,115,834,4237,614,8,1,0,0,4,0,145,135,148,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,173,11,220,2,2,26,38,172,1092,74,36,0,4,453,614,2668,212,10,0,0,0,0,3,3,423,14,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,566,46,542,1,1,20,17,93,857,686,511,0,0,17,8,212,3473,524,0,0,0,0,0,0,112,0,188,21,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,18,401,50,352,0,0,13,8,47,323,302,1281,0,0,3,1,10,524,5608,0,0,0,0,0,0,4,0,16,63,10,827,47,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
19,19,1,0,0,1,3,5,0,1,0,0,0,903,6,0,0,0,0,0,5909,1088,1,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,1,0,0,0,5,15,0,3,0,0,0,349,75,0,0,0,0,0,1088,3676,35,19,0,0,0,0,0,0,0,0,0,39,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,8,0,1,0,2,37,4,16,4,0,0,10,513,4,4,0,0,0,1,35,2403,124,126,9,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,19,124,2574,96,19,0,0,0,0,0,0,0,2,3,860,234,0,0,0,0,0,0,8,0,0,0,0,0
23,23,4,0,2,0,1,27,10,22,6,0,0,1,383,49,145,3,0,0,0,0,126,96,1672,204,0,0,0,0,0,0,0,0,0,1,150,2,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,3,3,10,1,0,0,0,15,14,135,3,0,0,0,0,9,19,204,1570,10,34,0,0,0,0,0,0,0,0,52,105,5,0,0,0,0,0,0,0,0,0,0
