table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,183129,15178,47912,142,204,7047,1586,8339,9734,5209,10662,47,105,354,69,173,568,401,1,1,8,0,4,0,24,0,8,17,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,15178,7114,2916,8,9,118,54,108,281,200,3510,1,4,19,3,11,46,50,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,47912,2916,102536,56,79,749,599,7318,43748,17791,11059,14,43,412,76,220,543,352,0,0,1,0,2,0,27,0,11,14,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,142,8,56,34736,3481,275,33,53,79,9,8,10,13,8,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,204,9,79,3481,48893,4383,71,78,89,10,8,286,55,11,1,2,1,0,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,7047,118,749,275,4383,90342,7116,2525,452,88,131,339,1644,1356,55,26,20,13,5,15,37,1,27,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1586,54,599,33,71,7116,46287,14984,499,70,64,11,97,1482,70,38,17,8,0,0,4,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8339,108,7318,53,78,2525,14984,158496,6817,316,252,24,146,2946,216,172,93,47,1,3,16,0,22,10,19,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9734,281,43748,79,89,452,499,6817,229143,9582,1733,24,61,1901,162,2963,1104,323,0,0,4,0,6,1,92,0,33,22,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,5209,200,17791,9,10,88,70,316,9582,37455,8984,1,5,52,13,74,1446,412,0,0,0,0,0,0,13,0,9,6,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,10662,3510,11059,8,8,131,64,252,1733,8984,78976,1,3,33,8,36,542,3827,0,0,0,0,0,0,7,0,7,34,1,85,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12,12,47,1,14,10,286,339,11,24,24,1,1,56550,451,1,0,0,0,0,2410,494,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,105,4,43,13,55,1644,97,146,61,5,3,451,39332,303,161,4,0,0,6,107,901,10,849,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,14,354,19,412,8,11,1356,1482,2946,1901,52,33,1,303,35509,1780,1469,17,3,0,0,4,0,49,14,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,69,3,76,1,1,55,70,216,162,13,8,0,161,1780,45131,1859,8,1,0,0,4,0,218,287,205,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,173,11,220,2,2,26,38,172,2963,74,36,0,4,1469,1859,31508,295,10,0,0,0,0,3,3,909,14,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,568,46,543,1,1,20,17,93,1104,1446,542,0,0,17,8,295,33636,1515,0,0,0,0,0,0,126,0,274,21,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,18,401,50,352,0,0,13,8,47,323,412,3827,0,0,3,1,10,1515,58381,0,0,0,0,0,0,4,0,16,63,10,1804,47,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
19,19,1,0,0,1,3,5,0,1,0,0,0,2410,6,0,0,0,0,0,59719,2123,1,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,1,0,0,0,5,15,0,3,0,0,0,494,107,0,0,0,0,0,2123,25337,40,19,0,0,0,0,0,0,0,0,0,39,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,8,0,1,0,2,37,4,16,4,0,0,10,901,4,4,0,0,0,1,40,11821,262,224,9,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,19,262,15836,160,19,0,0,0,0,0,0,0,2,3,1286,352,0,0,0,0,0,0,8,0,0,0,0,0
23,23,4,0,2,0,1,27,10,22,6,0,0,1,849,49,218,3,0,0,0,0,224,160,13809,330,0,0,0,0,0,0,0,0,0,1,162,2,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,3,3,10,1,0,0,0,15,14,287,3,0,0,0,0,9,19,330,13367,10,78,0,0,0,0,0,0,0,0,52,151,5,0,0,0,0,0,0,0,0,0,0
25,25,24,1,27,0,0,3,4,19,92,13,7,0,0,31,205,909,126,4,0,0,0,0,0,10,33174,2813,68,2,0,0,0,0,0,0,0,1,14,3,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,14,0,0,0,0,0,0,0,78,2813,28854,15,0,0,0,0,0,0,0,0,2,305,60,0,0,0,0,0,0,0,0,0
27,27,8,0,11,0,0,0,0,1,33,9,7,0,0,0,1,30,274,16,0,0,0,0,0,0,68,15,20358,189,7,2,0,0,0,0,0,0,0,67,124,164,0,0,0,0,0,0,0
28,28,17,1,14,0,0,0,0,1,22,6,34,0,0,0,0,3,21,63,0,0,0,0,0,0,2,0,189,12976,301,338,7,0,0,0,0,0,0,0,3,661,1,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,301,29960,149,242,0,0,0,0,0,0,0,2,775,56,0,0,0,0,0,0
30,30,45,4,33,0,0,1,0,3,53,13,85,0,0,0,0,0,6,1804,0,0,0,0,0,0,0,0,2,338,149,22897,555,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0
31,31,4,0,3,0,0,0,0,0,5,1,16,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,7,242,555,19776,0,0,0,0,0,0,0,0,6,270,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,39,0,2,0,0,0,0,0,0,0,0,0,23656,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,52,15336,89,0,0,0,0,0,0,0,169,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1286,1,0,0,0,0,0,0,0,0,11,89,65057,59,0,0,0,0,0,0,654,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,352,162,52,0,0,0,0,0,0,0,0,0,59,56107,165,0,0,0,0,0,329,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,151,1,2,0,0,0,0,0,0,0,0,165,14014,54,0,0,0,0,80,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,305,0,0,0,0,0,0,0,0,0,54,31244,149,0,0,0,274,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,67,0,0,0,0,0,0,0,0,0,149,21551,43,0,0,767,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,3,2,0,0,0,0,0,0,0,0,43,24612,87,0,1599,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,164,661,775,11,6,0,0,0,0,0,0,0,87,38965,70,189,0,0,0,0,0
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,12,270,0,0,0,0,0,0,0,0,70,27604,69,0,0,0,0,0
42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,169,654,329,80,274,767,1599,189,69,1284587,0,0,0,0,0
43,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
