table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,7646,2220,3312,12686,10670,17795,8743,15864,22222,12117,21308,3663,7372,5678,3247,5402,6861,8616,2180,2459,2714,1761,1522,1305,3894,2233,2989,3415,2449,5708,3802,941,761,1344,983,828,1602,1194,1490,2858,2376,9174,607,1201,147,166,2656
2,2,2236,1953,1819,3259,2080,3441,1411,2544,4645,3084,9718,605,1168,1111,608,1196,1588,2330,485,359,378,276,231,248,785,407,584,695,489,1229,664,154,103,185,175,147,273,195,299,540,448,1508,93,180,22,24,377
3,3,3312,1807,5582,6044,3858,6061,3043,9745,19007,11060,14213,1322,2468,4418,2867,4923,4580,5171,920,939,952,711,669,838,2920,1507,1444,1720,1226,3172,1755,373,274,504,441,478,1075,769,602,1334,1118,4040,279,597,73,80,1133
4,4,12672,3183,5910,35876,24167,12613,2744,6666,8258,3517,7336,4135,2631,1916,1681,2002,1960,2594,1513,1241,655,643,589,767,1561,703,973,785,684,1463,883,379,240,380,440,327,792,413,487,779,1382,1509,114,222,27,30,535
5,5,11038,2087,3915,24221,140744,57709,4689,6990,7380,2389,4534,28861,7663,1479,907,1109,1219,1287,4752,6106,1280,802,931,212,551,292,339,483,172,599,254,475,276,431,258,132,252,73,113,198,60,457,174,343,42,50,987
6,6,18504,3452,6187,12709,57706,242307,43215,37129,18097,5397,9572,21653,52958,17979,7018,3766,4314,3554,3829,9424,8332,4957,5948,3098,3016,2087,1004,900,693,1657,753,1239,960,2830,2605,897,1017,361,416,768,631,4092,334,664,81,113,2032
7,7,9137,1411,3125,2780,4690,43209,65811,55604,10143,1595,3025,1449,9850,14970,5516,2232,883,1005,509,762,2223,1127,2078,1682,1344,925,247,396,245,748,217,118,107,707,1092,442,448,121,45,164,103,935,151,325,40,54,817
8,8,16338,2546,9946,6900,6989,37073,55518,174455,59589,5944,7708,2288,11636,45998,16319,11754,3432,3246,1144,1408,2973,2076,3438,5728,5777,3153,1315,908,613,1855,893,494,376,1382,2212,2475,2417,1023,601,749,573,4897,397,903,110,135,1863
9,9,23119,4662,19849,8446,7375,18113,10154,59651,281167,42922,30585,2987,5452,28748,12215,48482,30782,13219,2043,1844,1926,1611,1973,2376,14529,5173,6771,3959,2184,5323,3709,645,530,1096,1157,1251,3284,2765,2084,2617,1786,7520,597,1263,154,172,2223
10,10,12468,3110,11412,3553,2389,5395,1591,5951,42930,62774,49426,739,1368,1931,1433,5055,25721,16201,606,490,481,424,476,452,2474,871,2520,2038,1053,2881,1221,198,124,266,291,237,493,432,731,1285,726,2338,221,375,46,51,729
11,11,22120,9761,14837,7405,4534,9572,3025,7726,30709,49464,153115,1257,2361,2600,2039,4327,25068,55274,883,763,796,679,764,598,2751,1174,3767,6062,2819,11405,4047,281,173,415,422,311,670,714,1369,3240,1628,3335,329,524,64,70,1073
12,12,3994,610,1379,4177,28897,21683,1453,2300,3007,743,1260,199948,24182,636,1118,350,390,570,51194,37743,4909,2339,1721,454,290,225,160,125,137,252,55,2666,1803,2007,566,107,76,20,42,105,27,1310,183,372,46,67,1403
13,13,7750,1174,2538,2733,7670,52983,9856,11675,5466,1371,2366,24174,208396,16704,18254,2357,1006,703,5891,23278,40357,12492,34153,7303,2278,1515,520,356,137,571,99,1624,1174,6256,7419,1757,925,236,151,197,93,5989,292,646,79,120,2102
14,14,5997,1117,4575,2005,1483,17984,14977,46131,28785,1939,2607,636,16707,116657,44078,20234,2104,790,307,859,1877,963,7057,7170,6398,2609,967,444,206,491,125,36,22,445,2187,1230,1408,303,200,274,63,1747,217,496,60,80,979
15,15,3426,612,2961,1806,912,7020,5519,16379,12234,1435,2041,1118,18257,44060,156144,29496,3567,1526,864,1915,3860,1934,20079,27215,25042,9140,2887,1273,591,686,427,319,169,1150,6652,5278,4662,1312,851,809,258,8157,318,716,87,117,1383
16,16,5626,1204,5106,2095,1114,3770,2233,11781,48523,5057,4327,350,2356,20219,29471,114443,17286,2688,470,374,824,658,2287,3025,37695,7415,7589,2595,722,1061,479,57,107,329,1447,993,3538,1584,1508,1346,332,3782,256,543,65,73,845
17,17,7551,1635,5059,2017,1225,4333,889,3468,31000,25764,25099,390,1006,2105,3567,17292,158918,31681,376,336,363,355,830,742,16343,2002,28682,10351,3214,4231,1171,131,75,192,410,254,1002,1320,4838,5021,890,3318,334,495,60,67,795
18,18,9027,2357,5438,2661,1290,3557,1007,3269,13346,16229,55303,569,702,790,1525,2688,31673,213688,245,298,426,287,468,190,2938,655,7129,13759,7809,51713,13054,46,32,97,234,147,456,885,2774,6965,4698,2834,383,503,61,68,961
19,19,2623,494,1017,1588,4774,3843,511,1161,2074,613,889,51189,5892,307,864,471,376,246,283704,75467,2865,2889,1304,303,311,158,126,37,31,83,23,31589,3212,3133,615,117,115,22,52,50,23,1966,224,485,59,91,2013
20,20,2763,364,999,1295,6124,9439,764,1417,1857,493,766,37776,23299,859,1916,374,337,298,75570,246807,16285,15151,3565,822,350,217,74,39,60,174,36,21891,12818,11519,1632,164,234,33,46,54,30,5002,233,523,64,103,2320
21,21,2891,380,987,688,1284,8340,2225,2980,1933,483,797,4908,40357,1876,3860,825,363,426,2865,16280,81100,24120,18808,2386,599,555,186,114,133,159,15,719,592,8060,6174,1115,688,86,80,39,28,5152,133,304,37,64,1105
22,22,1908,278,740,698,811,4959,1127,2082,1614,424,679,2338,12492,963,1934,659,356,287,2889,15150,24119,145600,17955,3698,561,687,210,57,69,156,25,2916,4650,63603,32235,4671,1139,220,103,130,28,22433,218,551,66,125,2190
23,23,1601,232,683,636,933,5948,2078,3450,1974,476,764,1721,34159,7057,20080,2287,830,468,1304,3565,18808,17955,111229,24012,2963,2028,717,366,169,297,67,551,573,4102,32569,7002,1681,322,143,207,69,10298,217,503,61,105,1449
