table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,16651,2536,14777,10678,8082,13739,6861,16565,25263,11252,17920,1687,2852,2861,751,2451,4924,6431,1087,450,591,603,287,434,1459,686,1183,1067,683,1889,834,193,89,389,291,209,373,266,642,645,574,997,0,0,0,0,0
2,2,2536,283,1429,488,238,418,235,508,891,452,1319,29,56,118,23,101,227,363,28,5,8,5,4,10,82,34,63,47,31,81,32,2,1,4,4,4,17,12,37,31,26,42,0,0,0,0,0
3,3,14777,1429,8711,3201,2177,4173,2112,7572,22607,8886,8841,467,821,1382,386,2176,2722,2803,349,110,152,133,79,145,997,437,620,490,204,680,276,45,21,90,87,68,231,166,318,282,141,462,0,0,0,0,0
4,4,11566,813,3437,4439,2159,1072,315,1016,1996,620,976,118,198,136,95,192,217,349,109,93,72,107,40,34,220,122,93,54,110,187,88,46,272,313,140,60,149,41,573,155,556,19,0,0,0,0,0
5,5,8082,238,2177,2140,10885,3055,178,482,975,233,267,475,94,32,13,53,53,55,82,23,10,3,4,1,9,4,5,4,1,7,1,4,1,3,3,0,1,1,1,1,0,2,0,0,0,0,0
6,6,13739,418,4173,1009,3055,26035,3315,2709,2048,596,707,455,1406,533,75,148,207,264,83,28,84,34,28,14,51,32,25,18,9,38,7,7,7,34,27,3,5,5,13,10,5,20,0,0,0,0,0
7,7,6861,235,2112,286,178,3315,10047,6567,1085,224,351,35,176,798,120,110,61,105,18,2,19,5,16,14,28,16,6,9,3,19,2,1,1,5,14,2,2,2,1,2,1,7,0,0,0,0,0
8,8,16565,508,7572,838,482,2709,6567,49053,5933,761,1437,84,347,3608,483,460,293,617,62,14,45,40,44,164,163,90,48,46,24,125,26,7,4,28,51,53,42,19,38,23,16,69,0,0,0,0,0
9,9,25263,891,22607,1738,975,2048,1085,5933,76930,5819,3901,198,314,1450,219,3182,2010,1510,131,31,47,34,25,34,514,225,261,194,58,287,67,11,6,33,24,12,89,61,79,82,26,132,0,0,0,0,0
10,10,11252,452,8886,567,233,596,224,761,5819,7813,5269,38,69,97,33,194,1429,1015,33,6,10,6,6,6,72,22,62,38,13,61,12,3,1,5,6,2,7,6,18,17,7,22,0,0,0,0,0
11,11,17920,1319,8841,925,267,707,351,1437,3901,5269,15501,33,69,157,50,194,903,3205,27,4,8,4,7,10,74,27,49,85,38,214,42,2,1,4,5,3,8,8,20,29,21,26,0,0,0,0,0
12,12,1687,29,467,108,475,455,35,84,198,38,33,7529,125,5,6,6,7,13,1152,235,9,2,1,0,1,1,1,0,0,1,0,18,9,4,2,0,0,0,0,0,0,2,0,0,0,0,0
13,13,2852,56,821,193,94,1406,176,347,314,69,69,125,5508,169,39,20,15,17,21,32,305,27,203,7,4,3,1,1,0,3,0,1,1,18,54,4,0,1,0,0,0,8,0,0,0,0,0
14,14,2861,118,1382,125,32,533,798,3608,1450,97,157,5,169,8171,1106,477,26,34,3,0,6,1,53,28,45,11,4,2,1,6,0,0,0,1,8,2,1,1,1,1,0,3,0,0,0,0,0
15,15,751,23,386,82,13,75,120,483,219,33,50,6,39,1106,11968,325,12,27,4,1,5,1,28,114,91,33,3,2,1,3,0,0,0,2,10,30,18,1,1,1,0,11,0,0,0,0,0
