table_index,origins,gd01,gd02,gd03,gd04,gd05,gd06,gd07,gd08,gd09,gd10,gd11,gd12,gd13,gd14,gd15,gd16,gd17,gd18,gd19,gd20,gd21,gd22,gd23,gd24,gd25,gd26,gd27,gd28,gd29,gd30,gd31,gd32,gd33,gd34,gd35,gd36,gd37,gd38,gd39,gd40,gd41,gd42,gd51,gd52,gd53,gd54,gd55
1,1,136537,12338,20009,3120,1149,6013,3015,8983,7941,5516,8598,222,476,537,263,533,232,592,80,106,112,79,91,47,198,88,87,121,76,339,91,23,15,62,39,13,41,17,31,80,36,166,1,7,0,0,25
2,2,12335,8950,1862,723,163,594,253,450,764,1024,4802,34,63,85,51,117,42,160,12,15,16,11,13,8,39,16,19,29,16,90,19,3,2,9,6,2,8,3,6,17,7,29,0,1,0,0,4
3,3,20007,1862,39841,693,214,688,478,4112,17187,7077,3851,60,106,479,224,621,207,287,25,31,29,23,29,28,167,63,42,53,34,146,40,7,5,18,15,7,28,11,14,35,16,73,1,5,0,0,8
4,4,3120,723,693,20260,4706,1251,272,377,353,269,586,484,103,56,37,65,24,85,76,65,19,14,15,8,30,14,15,20,13,52,16,10,7,11,7,2,7,3,5,14,6,31,0,1,0,0,7
5,5,1148,163,213,4704,26883,8135,861,562,187,89,163,3348,554,59,37,35,18,52,339,368,54,32,32,13,22,12,12,14,11,32,13,35,22,26,13,4,6,2,5,11,5,50,0,1,0,0,20
6,6,6009,594,688,1250,8133,55952,10470,5161,604,227,477,1939,6488,1815,394,91,38,110,171,504,494,166,350,90,61,29,25,29,22,68,26,52,34,103,63,17,14,5,9,23,11,149,0,2,0,0,43
7,7,3014,253,477,272,862,10475,24372,12310,917,115,213,121,776,1582,327,100,24,55,38,63,113,56,124,62,49,22,15,15,11,34,13,12,8,39,29,11,11,4,5,12,5,66,0,2,0,0,14
8,8,8984,450,4113,377,563,5164,12310,81815,11121,489,446,122,597,7398,1622,962,97,113,49,71,79,56,211,178,233,88,45,33,23,68,27,15,10,43,53,24,40,14,12,24,11,121,0,6,0,0,17
9,9,7939,764,17185,353,187,605,917,11118,124415,8835,2169,73,157,4822,1063,7657,1980,439,33,42,39,33,79,80,943,166,183,85,46,129,49,10,6,26,38,19,68,27,33,52,20,150,1,11,0,0,11
10,10,5511,1023,7071,268,89,228,115,489,8826,22043,8719,30,46,97,73,510,3725,1560,13,14,13,11,15,13,153,30,130,104,39,173,39,3,2,9,7,3,12,9,21,44,15,58,1,2,0,0,4
11,11,8587,4798,3846,585,163,477,213,445,2166,8709,37487,49,81,103,77,191,2024,6599,21,24,22,18,20,14,93,33,138,270,90,733,103,5,4,15,10,4,15,14,35,98,35,96,1,2,0,0,6
12,12,221,33,60,482,3340,1933,121,121,72,30,49,39313,3399,33,53,16,9,23,5941,4348,342,95,105,30,17,8,6,7,5,15,6,144,73,64,29,7,4,1,2,6,3,94,0,1,0,0,49
13,13,471,63,105,102,551,6462,771,593,155,46,80,3396,52485,1783,2197,95,31,36,403,3327,8302,1044,7134,766,134,47,26,15,9,22,10,127,75,334,245,47,23,7,7,11,4,325,0,3,0,0,84
14,14,535,84,478,55,59,1813,1578,7388,4816,97,102,33,1789,21362,7418,3611,84,35,20,39,88,41,845,410,407,85,43,19,10,20,9,8,5,26,69,28,34,11,10,12,4,97,0,5,0,0,10
15,15,261,50,222,37,37,392,325,1614,1057,72,76,53,2195,7398,54816,5634,267,55,46,108,321,117,4095,4883,4424,441,177,70,29,35,14,19,12,57,315,106,108,30,29,36,7,261,1,13,0,0,23
16,16,530,117,619,65,35,91,99,959,7638,509,191,16,95,3605,5637,26400,2141,125,11,19,26,18,128,163,8991,317,485,156,37,54,17,4,3,12,40,19,70,26,36,48,8,127,1,10,0,0,5
17,17,231,42,206,24,18,38,24,97,1971,3713,2019,9,31,84,267,2137,34163,3877,6,9,10,9,35,39,2426,103,4795,1486,152,356,53,2,1,6,18,9,30,42,130,216,22,172,3,5,0,0,3
18,18,588,159,285,85,51,110,55,113,437,1552,6567,23,36,35,56,125,3873,47612,11,12,11,10,15,14,171,35,500,1476,310,9194,794,3,2,8,8,4,14,27,78,295,108,157,3,2,0,0,3
19,19,79,12,25,75,337,170,38,48,33,13,21,5928,403,20,46,11,6,11,55283,11400,153,142,75,27,16,8,5,3,3,7,3,3299,177,116,31,8,4,1,1,3,1,141,0,1,0,0,87
20,20,105,15,30,64,364,499,63,70,42,14,23,4322,3314,39,108,19,9,12,11384,52556,1814,1674,266,62,29,14,8,4,3,7,3,2321,943,675,76,18,8,2,2,3,1,366,0,1,0,0,171
21,21,110,15,28,18,54,488,112,78,38,13,22,339,8267,87,319,26,10,11,152,1812,18577,5235,2759,264,40,16,9,5,3,7,3,63,48,781,313,38,12,3,2,3,1,333,0,1,0,0,61
22,22,77,11,22,14,32,162,54,54,32,11,18,93,1025,40,115,18,8,9,139,1660,5183,45418,2926,328,29,17,8,4,3,6,3,373,451,12443,4664,308,42,7,3,3,1,2164,0,4,0,0,212
23,23,89,13,29,14,31,347,122,208,78,14,20,104,7114,839,4085,127,35,14,75,266,2759,2939,34824,6635,203,64,30,14,7,9,4,31,26,298,5334,413,45,9,8,9,2,624,0,4,0,0,56
24,24,46,7,27,7,13,88,61,174,78,13,14,29,759,403,4842,160,38,14,27,62,263,330,6632,34483,912,1834,36,15,8,9,4,12,10,86,1643,4625,772,31,13,12,2,540,1,14,0,1,31
25,25,195,39,165,29,22,60,48,230,933,151,92,17,133,403,4402,8953,2422,170,16,29,40,29,203,919,54050,13263,2494,404,75,110,30,7,4,19,68,80,588,198,107,105,15,336,3,33,0,0,8
26,26,85,16,61,14,12,28,22,85,161,29,32,8,46,83,432,309,101,34,8,13,16,17,63,1835,13172,57936,1247,46,23,22,10,3,2,12,49,335,7975,2665,198,66,11,779,5,78,0,1,7
27,27,85,19,42,15,12,25,15,45,180,128,136,6,26,42,176,481,4766,496,5,8,9,8,30,36,2483,1256,48770,5604,397,339,56,2,1,5,16,17,200,2377,4927,1838,45,757,14,13,0,0,2
28,28,120,29,52,19,14,29,15,32,84,102,266,7,15,19,70,155,1474,1466,3,4,5,4,14,15,402,47,5602,23006,3726,3443,330,1,1,3,8,4,23,62,436,5854,92,266,4,3,0,0,1
29,29,75,16,33,13,11,21,11,23,45,38,89,5,9,10,29,36,150,306,3,3,3,3,7,8,74,23,395,3702,39202,2441,2352,1,0,2,4,4,24,57,422,11719,1336,499,5,3,0,0,1
30,30,335,89,144,52,32,68,34,67,128,171,723,15,22,20,36,53,354,9148,7,8,7,6,9,9,110,23,340,3447,2455,37991,7588,2,1,5,5,2,10,19,58,609,683,140,2,1,0,0,2
31,31,90,19,40,16,13,26,13,27,48,39,102,6,10,8,14,17,53,783,3,3,3,3,4,4,30,10,57,328,2348,7542,45320,1,1,2,2,1,6,11,33,380,7592,180,1,1,0,0,1
32,32,22,3,7,10,34,51,12,15,9,3,5,142,125,8,19,4,2,3,3269,2288,62,371,31,12,7,3,2,1,1,2,1,32324,2150,610,22,5,2,1,0,1,0,296,0,0,0,0,108
33,33,15,2,4,7,21,32,8,10,6,2,3,70,72,5,12,3,1,2,170,905,46,441,25,10,4,2,1,1,0,1,1,2104,24320,2640,49,11,4,1,0,1,0,4611,0,0,0,0,530
34,34,59,8,18,11,25,100,38,41,25,9,14,63,326,25,55,12,6,7,113,665,765,12367,294,85,19,12,5,3,2,5,2,607,2675,64742,1780,123,33,6,2,2,1,11093,0,3,0,0,511
35,35,38,5,14,6,13,61,28,51,36,7,9,28,238,67,307,39,17,8,30,74,307,4633,5279,1630,67,49,16,7,4,5,2,22,50,1780,65115,4114,133,21,8,6,1,7972,0,10,0,1,174
36,36,12,2,7,2,3,16,10,22,18,3,4,7,45,26,102,18,8,3,7,17,37,302,402,4557,77,326,16,4,4,2,1,5,11,121,4068,42229,3327,80,25,13,2,7028,1,44,0,7,101
37,37,39,7,27,6,5,14,10,38,64,12,14,4,22,32,103,67,29,14,4,8,11,41,44,756,570,7843,195,22,24,9,6,2,4,32,131,3347,82641,6280,318,98,18,10674,19,238,1,2,18
38,38,16,3,10,3,2,5,4,14,26,9,13,1,7,11,29,26,41,26,1,2,3,7,9,31,194,2652,2352,61,56,18,11,1,1,6,21,82,6338,51271,4171,347,39,7662,54,121,0,0,3
39,39,30,6,13,5,4,9,5,12,32,20,34,2,7,9,28,35,127,76,1,2,2,3,8,13,106,198,4885,430,419,57,33,0,0,2,8,26,324,4188,58851,5328,122,13495,62,27,0,0,1
40,40,78,17,35,14,11,22,12,24,51,43,96,6,11,12,36,47,213,291,3,3,3,3,9,12,104,66,1830,5830,11685,603,377,1,1,2,6,13,101,349,5310,79419,3239,7428,20,11,0,0,1
41,41,35,7,16,6,5,10,5,11,19,15,34,3,4,4,6,8,22,105,1,1,1,1,2,2,15,11,45,91,1317,671,7540,0,0,1,1,3,18,39,121,3194,62652,3287,3,2,0,0,0
42,42,157,27,69,30,47,141,63,113,141,55,91,90,310,92,247,120,165,151,135,349,320,2109,599,512,318,742,739,258,486,134,172,283,4505,10938,7807,6838,10414,7623,13419,7347,3212,2019168,21292,49098,7392,8684,61369
43,51,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,3,2,0,0,0,0,0,1,3,5,14,4,5,2,1,0,0,0,0,1,20,55,63,20,3,21271,0,0,0,0,953
44,52,6,1,4,1,1,2,1,6,10,2,2,1,3,4,12,9,4,2,0,1,1,3,4,13,29,71,11,2,3,1,1,0,0,3,9,42,223,112,25,10,2,52061,0,0,250,1690,4202
45,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7551,0,220,0,31,770
46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,5654,0,4767,17,217,1
47,55,23,3,7,7,18,40,13,16,10,3,5,45,78,9,21,5,2,3,81,158,57,200,52,29,8,6,2,1,1,2,1,100,489,483,165,96,17,3,1,1,0,61039,979,4280,964,6,16244
